Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Micronesia, Fed. Sts.",FSM,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.15140267,77.33204447,114.825943,103.8460812,120.9910094,137.7473713,154.2439777,161.4943612,186.4346591,
Gabon,GAB,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.462841873,18.40161222,8.001453978,12.10739701,12.20936405,16.42975305,22.41177604,28.08957475,26.42413089,
United Kingdom,GBR,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1315.401967,1811.950056,2500.537674,2832.496879,3250.498815,4385.413711,8698.545397,21195.88532,27250.07513,
Georgia,GEO,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.506971119,14.90772782,43.71292782,63.7496409,83.07760308,118.648927,406.7063626,2360.244249,2179.576521,
Ghana,GHA,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.887826403,1.299841537,2.69267545,4.246900195,5.436285413,7.181533548,96.93860104,94.22600939,21.80258828,
Gibraltar,GIB,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4793.806759,5265.976437,7905.843191,7984.091179,10170.49666,11471.42518,13931.29205,18382.35294,16460.05101,
Guinea,GIN,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.098114475,0.095964952,0.375515313,0.367214704,0.538069444,0.787257761,0.937092072,1.574471812,3.302638131,
"Gambia, The",GMB,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.461308189,2.164330002,3.149588113,4.073919227,7.904974304,8.15011554,8.840749714,47.87943777,24.56030476,
Guinea-Bissau,GNB,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.590863245,1.72691489,1.683088939,2.735011317,2.134119828,
Equatorial Guinea,GNQ,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.013322146,0,0.929011448,2.673139228,3.422992928,5.760468211,0,9.931442489,
Greece,GRC,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.93113924,92.84190698,162.3357369,212.4902111,277.8080486,409.9480606,1411.844928,3695.693753,5037.814369,
Grenada,GRD,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.13270829,74.90917263,158.2190123,175.6494407,183.6513563,218.9801002,281.151087,234.5004239,323.0032121,
Greenland,GRL,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,931.3768562,1107.400246,1777.856011,2018.306393,2327.027267,2797.875753,2954.472644,2527.994873,3070.05801,
